Month,CPI
Nov.2015,741.7
Dec.2015,740.8
Jan.2016,737.6
Feb.2016,738.6
Mar.2016,741.4
Apr.2016,743.6
May.2016,743.3
Jun.2016,743.7
Jul.2016,743.2
Aug.2016,743.5
Sep.2016,744.8
Oct.2016,746.4
Nov.2016,746.6
Dec.2016,748.4
Jan.2017,743.9
Feb.2017,747.6
Mar.2017,747.6
Apr.2017,749.9
May.2017,748.7
Jun.2017,749.3
Jul.2017,747.1
Aug.2017,749
Sep.2017,750.6
Oct.2017,750.5
Nov.2017,752.3
Dec.2017,752
Jan.2018,749.8
Feb.2018,752.1
Mar.2018,753.6
Apr.2018,755.5
May.2018,756.3
Jun.2018,758
Jul.2018,757.4
Aug.2018,758.5
Sep.2018,760.1
Oct.2018,761.9
Nov.2018,761.8
Dec.2018,760.9
Jan.2019,758
Feb.2019,761.6
Mar.2019,762.1
Apr.2019,766.5
May.2019,765.2
Jun.2019,765.7
Jul.2019,763.6
Aug.2019,766.7
Sep.2019,767
Oct.2019,767.7
Nov.2019,766.9
Dec.2019,767.9
Jan.2020,765.5
Feb.2020,768
Mar.2020,766.7
Apr.2020,764.1
May.2020,763.9
Jun.2020,765.4
Jul.2020,768.1
Aug.2020,768.3
Sep.2020,768.3
Oct.2020,769
Nov.2020,768.5
Dec.2020,769.6
Jan.2021,772.3
Feb.2021,775
Mar.2021,776.9
Apr.2021,779.8
May.2021,781
Jun.2021,780.5
Jul.2021,783.1
Aug.2021,785
Sep.2021,787.4
Oct.2021,793.4
Nov.2021,796.9
Dec.2021,796.4
Jan.2022,806
Feb.2022,810.2
Mar.2022,821.9
Apr.2022,824.6
May.2022,835.3
Jun.2022,841.4
Jul.2022,844.1
Aug.2022,844.7
Sep.2022,851.3
Oct.2022,859.3
Nov.2022,869.7
Dec.2022,869.2
Jan.2023,874.1
Feb.2023,881.4
Mar.2023,887.1
Apr.2023,889.9
May.2023,892.3
Jun.2023,894.1
Jul.2023,898.6
Aug.2023,892.2
Sep.2023,898.5
Oct.2023,901
Nov.2023,898
Dec.2023,900.4
